d1,d2,d3,d4,d5,d6,x,y,z,std_x,std_y,std_z,jitter
-0.1984155061066707,-0.4006226578007611,0.00727714878194663,-0.44411184123920344,-0.26491383006990366,-0.29477690552310076,-0.1096985897853739,-0.48389255766036304,0.8520699496756027,0.0015538369278566748,5.387885859894916e-05,0.0010892604745928439,3.6038005112852226e-06
-0.37919803285152387,-0.11064702299795376,-0.1652735237182386,-0.12260600377302766,-0.45693954053382274,-0.31657342383786935,-0.1311380126001948,-0.4771729406218578,0.9207459239725992,0.000451002645364582,8.822096515351693e-05,0.0006913454717476544,6.891448861244554e-07
-0.22968680134619945,-0.27810500526027465,-0.4788788678261725,-0.3991057234515875,-0.008587182881594213,-0.4154637431282745,-0.09120574912176131,-0.6014105450423354,0.9878375415046325,0.00022219790420087809,0.0004645307077990982,0.00033387413685225626,3.766326263784329e-07
-0.05693278711935684,-0.07248867728649117,-0.2965272463193839,-0.257272569680983,-0.07151906002204195,-0.14604311070348952,-0.2541079403342238,-0.44265510009250586,0.8588394495627681,0.005560310923656335,0.0022534734902155914,0.0029773732587031836,4.485995186047723e-05
-0.0647892570568831,-0.10604977536729565,-0.14053883069088557,-0.02525346487642338,-0.07214029079081385,-0.4068874024568435,-0.14942464323713517,-0.5875509026769348,1.2749198099864616,0.011331437579157604,0.0035145487159088293,0.001208413043638505,0.0001422137923708772
-0.11092337695775262,-0.45492571198043774,-0.2785547550471088,-0.2936890186802189,-0.394872591132748,-0.012289343509285566,0.0073731936305425445,-0.566362808951477,0.7890441884809305,0.0007156819849369207,0.003692845534272802,0.0005679475832377469,1.4471873300867425e-05
-0.4507161272521932,-0.49745230420594067,-0.33208118209473125,0.015187253485435481,-0.36235853323801126,-0.0680389819307799,-0.03593659893786923,-0.45487453425196134,0.7657457162894775,0.0002887299079206248,2.2302731928003595e-05,5.0502008443833196e-05,8.641282443616592e-08
0.011334047407779102,-0.06473554350559801,-0.09531092242699729,-0.037985258806019884,-0.1716244110239593,-0.31469043588418283,-0.03668205882782507,-0.3127016268549912,1.2713298983663488,0.0029657188532081578,0.012733908548956927,0.012614765186115259,0.00033008021595029813
-0.409980908749358,-0.19508325550484357,-0.001627145706716182,-0.12741311802578031,0.009864147092812914,-0.20123054247369937,-0.21543848583136996,-0.5982319872294162,0.8803714877653495,0.00027862347167206667,0.00011091438219461422,0.0002183323177721311,1.3760204012795868e-07
-0.22529313117036365,-0.38221979424517094,-0.09567705558151318,-0.4115591791602694,-0.19985706652697283,-0.22133255661886053,-0.16862678466774209,-0.49338457638276956,0.7978670615365305,0.0005486955211356615,4.892468774949382e-05,3.328088063558263e-05,3.0456801700160046e-07
-0.15061054219160092,-0.10454696869406999,-0.44288949924676735,-0.17503069993264858,-0.2847429411180997,-0.18061525345266405,-0.05559245453831382,-0.5650416466752095,0.9855028492975528,2.309360051388338e-05,0.0006177290354147414,3.5219675887919596e-05,3.8336290114877176e-07
-0.13912803756382247,-0.1955506154044766,-0.11889924003346808,-0.22958686625358304,-0.2593087392527787,-0.35088018996676174,-0.08621327883337772,-0.2667609596096206,0.8425847209104653,0.012485025307260037,0.0005758921521564266,0.002600140625565257,0.00016296823996655383
-0.38084113160171257,-0.1384429048322544,-0.138230096537522,-0.3983490932521699,0.005355456637778366,-0.15100159424951404,-0.27706749640726347,-0.7157908130886294,0.8700121597030562,0.001667720735743154,0.001003012252410335,0.0013164481299860278,5.520361709856651e-06
-0.22376761593089034,-0.06258881719661685,-0.24700937468235945,-0.2525086675478301,-0.3656973119596808,-0.41880954967684,-0.16610019315875288,-0.3448794084262275,0.969703807876995,0.002668136866202501,0.0003706808652795858,0.0025612834884212615,1.3816531748732714e-05
-0.12995729898192293,-0.06106229651569789,-0.14754463539010132,-0.30821281131810585,-0.20062451256609287,-0.2070255136895252,-0.21582279924587158,-0.2699845344798449,0.7318128121197318,0.0008934838088487921,0.0005829560598601733,0.0019980499796164305,5.1303548054478605e-06
-0.012985636593367156,-0.29840940978304153,-0.4143130209256782,-0.043994895468914386,-0.03474118161882844,-0.47490189059901444,0.006828859609571516,-0.6027387499734386,1.0156527365995156,0.0005171876847191062,0.00041928866805277827,0.001933545456348243,4.181884120147517e-06
-0.39692350396346915,-0.1691325001282809,-0.08980051906988429,-0.1845198964949138,-0.4003736180141897,-0.43882638086365644,-0.18371917440971372,-0.48762047577394035,0.8933157510063146,0.00023718091856235777,0.00035190642336085866,0.00012960776231134627,1.9689109098407011e-07
-0.23689423028610457,-0.07593458853731405,-0.3871250658424944,-0.4609309986661525,-0.21345660218748158,-0.4002550829696676,-0.14873058983164889,-0.53171948276431,0.9958528843859923,0.0008255129517178984,0.0005215613492269631,0.0004897154024296546,1.1933190498382865e-06
-0.4649396653481798,-0.09790240901854053,-0.07296216483948031,-0.2928655134289176,-0.3470802927124921,-0.35589713749278196,-0.2019805507197446,-0.5407268064694273,0.8927412264511515,1.6783912821962866e-05,3.107535717698347e-05,1.2866183372197979e-05,1.4129162278593706e-09
-0.31229485856925754,-0.20000802557954372,-0.22553355938151176,-0.3152184257901979,-0.16854109079614565,-0.1486009301873208,-0.3354480832646757,-0.4399934464105099,0.8140923919508191,0.0001403078813298009,0.0002963299325347658,0.0003006302753918288,1.9787629296148313e-07
-0.20969494705298214,-0.2986066441730255,-0.17557055339165017,-0.19221055272866255,-0.32303159416205346,-0.3423354734145925,-0.04214669076809461,-0.44418099873724043,0.8440364583021172,0.0022967648426008977,0.005980751051967753,0.016231093172061558,0.00030449289744796415
-0.21621058290997097,-0.1815822957190376,-0.18238481176065946,-0.3009242353731154,-0.2057975682475473,0.012600210302137982,-0.21377683634418285,-0.30890827938999593,0.7212208235203754,0.0005595631508350628,0.00031316792408668054,0.0005763357586008506,7.433479750912422e-07
-0.2774272500971451,-0.06163234841320492,-0.4577116805203824,-0.04488130807497459,-0.010312799124459093,-0.3638307117559526,-0.1541102690544947,-0.6747292900332094,0.9593239636629343,0.0010723122472005948,0.0007538074466962931,0.0002539403530595325,1.7825649251031735e-06
-0.4937072638504598,-0.24883562501442436,-0.4049896260156155,0.005248252228339356,-0.03319681373887484,-0.0004542593162586983,-0.3370325190944563,-0.5154871261314855,0.9749710687837251,0.000340563066984237,0.0028118862420881893,0.0030272309319018475,1.7186814556101868e-05
-0.1859877779748086,-0.2321166092106261,-0.06698671832227993,-0.16077853784170898,-0.37075000828903254,-0.014171260105911687,-0.009260215478113516,-0.3146427013911348,0.7143837971504527,0.001105363343297411,0.0001990997885659129,0.00010857406921352445,1.2732571750182048e-06
-0.2713562860179237,-0.09775076127916449,-0.23951226236598688,-0.40465475358533365,-0.3461180395551051,-0.20130640022253504,-0.16011003154626197,-0.3957781396941059,0.8593900890245095,0.0036851093334475896,0.0004250422494361954,0.0011782116680984285,1.51488744481116e-05
-0.4256389161825741,-0.49285631351943116,-0.2743765633380356,-0.1036574706332058,-0.18063821765369825,-0.3314438845801645,-0.1076684345685977,-0.5020557214778477,0.7794364718156003,0.00022415460606835396,0.002400646194671325,0.0031056805359132283,1.5458599030561845e-05
-0.1270347115663435,-0.2480523907828659,0.01974070317365395,-0.0964635407287141,-0.0680716505386853,-0.36503456880783536,-0.20757715346287658,-0.5090147355576595,1.0964709978363678,0.005444848901051272,0.0010581529645217515,0.0014259041964527616,3.2799270029067014e-05
-0.42080661931861674,-0.39636196726436,-0.27522221853994167,-0.23368245779713182,-0.39880313917923804,-0.09442871908593753,-0.1946362346490907,-0.46912852446515435,0.7578158610788078,0.0015889333847325176,0.00034865499667471796,0.0007719683432546101,3.242204730811051e-06
-0.04841579970304061,-0.3356774074046748,-0.23580661768672917,-0.19092520669336538,-0.12436334955581568,-0.4233143236780147,-0.16181822680979618,-0.49535845269018736,0.9727709965055412,0.0016359397332480232,0.0005841098193194743,0.0007706461298965613,3.611378549369589e-06
-0.35394704807035865,-0.12003288215363056,-0.20453999656783417,-0.03202818741174679,-0.26711365176585344,-0.28856132058239903,-0.09375616470404907,-0.4968646645836492,0.9631015807101214,0.0014067712983059496,0.0002838543650636888,0.0010113274099804153,3.0823619164808117e-06
-0.34061624688403486,-0.37968626221953233,-0.16160150592303285,-0.36236327905219834,-0.051616729265615335,-0.35926283426090366,-0.17208024264100574,-0.5400116951767439,0.7472801944281244,0.0003259631993794129,0.0005550372457724676,0.00020912185198622456,4.5805030052249786e-07
